insurance_type,age,vehicle_age,claim_amount,annual_premium,incidents,witness_count,policy_type,collision_type,police_report,is_fraud
auto,45,19,1582.24,1009.31,0,3,basic,none,no,0
health,78,7,6757.37,1637.66,2,0,standard,side,no,0
property,31,0,2113.87,1600.2,0,1,standard,none,yes,0
auto,35,13,7828.09,2228.27,0,1,basic,side,no,0
property,43,11,2750.56,1800.2,2,2,standard,side,no,0
health,79,12,1754.0,1376.17,1,1,premium,none,no,0
health,70,15,2701.57,3375.45,3,1,premium,front,no,0
auto,20,9,580.03,1380.74,0,3,basic,rear,no,0
property,32,16,3345.8,1562.36,0,2,standard,rear,yes,0
health,68,7,3232.19,815.87,2,2,basic,front,yes,0
auto,21,10,6485.47,1265.46,0,0,standard,none,no,0
auto,71,3,972.22,2340.31,0,2,basic,none,yes,0
auto,35,12,8211.63,2122.4,1,1,premium,rear,no,0
auto,74,5,6466.69,2440.01,0,2,standard,rear,no,0
auto,36,13,8746.69,2381.51,1,3,basic,rear,yes,0
auto,44,16,3509.03,5135.11,1,1,premium,none,no,0
auto,59,17,7403.65,1243.98,0,3,standard,front,no,0
health,25,18,1300.01,804.55,1,2,basic,none,yes,0
health,52,2,5997.71,1069.26,0,1,standard,none,no,0
health,49,2,2122.15,1271.78,1,3,standard,rear,yes,0
auto,66,18,1145.98,1110.8,0,0,basic,side,no,0
auto,79,7,1657.56,1894.73,2,2,basic,side,no,0
health,59,0,3655.07,3382.35,2,1,basic,none,no,0
health,43,5,2044.67,3904.28,1,2,basic,none,no,0
auto,43,16,4737.44,2326.58,2,0,standard,none,no,0
property,43,7,1026.83,5274.48,1,2,basic,rear,no,0
health,68,1,821.42,1512.95,1,0,standard,none,yes,0
property,37,14,9515.44,799.3,0,1,premium,side,yes,0
health,28,3,6854.5,3061.28,1,3,premium,side,no,0
auto,38,7,1746.72,721.05,2,2,standard,rear,no,0
property,19,0,3633.31,1239.54,0,1,standard,side,yes,0
property,24,12,7432.78,2345.04,1,1,premium,rear,no,0
property,23,8,4882.64,1717.82,1,0,standard,side,no,0
property,65,17,4039.02,1643.4,1,0,standard,none,yes,0
property,62,6,7836.97,1001.85,0,2,basic,none,no,0
health,61,4,2183.1,1798.3,1,1,basic,none,yes,0
auto,46,3,3721.29,2986.42,3,0,basic,none,yes,0
health,62,4,3595.74,1826.18,2,1,basic,none,yes,0
health,27,9,3008.11,1193.79,0,1,basic,none,no,0
health,73,1,2771.48,968.97,0,3,basic,rear,yes,0
auto,49,8,3831.49,1206.17,0,0,standard,none,no,0
health,76,17,3729.71,2199.9,1,1,basic,front,no,0
property,27,15,1747.78,2146.94,1,0,basic,front,no,0
auto,48,12,6382.13,1211.66,0,0,standard,none,no,0
auto,61,17,1838.18,598.62,1,2,basic,rear,no,0
health,48,15,3125.15,2230.56,1,0,standard,rear,no,0
auto,45,13,2961.06,1154.18,0,2,basic,front,no,0
auto,28,17,4678.22,2551.74,0,3,standard,none,yes,0
health,41,2,826.03,1238.86,1,1,premium,none,no,0
property,32,16,6792.92,1103.29,2,0,basic,rear,no,0
auto,36,5,2266.76,1951.95,0,3,standard,side,no,0
auto,60,14,8552.46,5877.28,0,3,premium,none,no,0
auto,57,18,2605.25,2629.41,1,3,premium,side,no,0
health,55,9,3518.57,1935.48,0,3,standard,side,no,0
auto,40,1,13900.08,2163.38,1,3,standard,side,no,0
auto,77,7,2998.49,753.28,1,2,basic,none,yes,0
health,23,8,8666.28,1031.56,0,3,basic,rear,no,0
property,39,18,3741.84,515.19,0,1,basic,rear,no,0
auto,25,18,4869.73,4293.84,2,3,basic,rear,no,0
health,39,11,3823.69,3880.4,0,0,premium,front,no,0
health,77,19,6591.24,2200.43,1,3,basic,side,no,0
auto,40,8,2253.25,1934.41,1,1,standard,none,no,0
property,74,8,1828.34,832.31,0,1,premium,none,no,0
auto,48,16,2328.54,1620.27,1,2,basic,side,no,0
auto,61,13,3904.16,4430.18,1,0,basic,rear,yes,0
auto,46,10,3119.5,1930.84,0,3,basic,rear,no,0
auto,34,9,5986.08,1363.32,1,2,basic,none,no,0
health,65,14,9075.3,750.67,2,0,standard,front,yes,0
health,78,15,1838.88,3605.27,0,3,basic,none,yes,0
health,34,9,2178.16,1745.78,0,0,standard,none,no,0
health,66,0,1332.26,751.17,0,3,basic,none,yes,0
auto,34,2,15082.06,1138.96,1,3,standard,none,no,0
property,62,2,4506.47,954.54,0,2,basic,side,no,0
property,66,9,5094.22,1692.78,1,2,standard,none,yes,0
auto,45,12,1424.9,2005.54,1,3,basic,none,no,0
health,63,16,3637.97,1405.84,2,3,standard,none,no,0
property,34,4,5200.31,2666.5,1,2,standard,none,yes,0
auto,22,15,3050.53,1880.7,0,0,basic,none,yes,0
auto,23,13,7731.0,3075.3,3,2,standard,none,no,0
auto,45,1,18366.47,1512.32,0,0,basic,none,yes,0
property,73,7,1876.3,8288.82,0,0,standard,none,yes,0
health,25,6,1780.3,1363.43,0,0,premium,side,no,0
health,46,17,1969.57,1150.94,0,1,basic,side,yes,0
property,61,18,11207.51,1082.31,0,3,standard,none,no,0
auto,30,16,7552.61,1627.06,0,0,basic,none,yes,0
property,62,10,3311.41,765.27,0,0,standard,none,yes,0
health,36,9,3735.33,2094.94,1,0,basic,side,no,0
health,68,6,2055.8,697.39,1,0,standard,none,yes,0
auto,53,15,6788.73,1960.27,1,2,premium,rear,no,0
auto,51,1,2790.76,920.0,2,3,basic,none,no,0
auto,28,5,3034.94,1494.21,0,0,standard,none,no,0
auto,46,2,5575.59,2446.15,0,3,basic,none,no,0
auto,71,9,3192.0,5721.69,1,3,premium,none,yes,0
auto,19,5,3088.76,1054.69,2,0,standard,none,no,0
health,65,3,3668.0,1677.13,3,1,basic,side,no,0
property,48,7,6353.42,1259.06,0,3,basic,none,no,0
auto,62,17,11528.13,1170.36,3,2,standard,side,no,0
auto,59,11,5485.37,1264.6,0,0,standard,rear,no,0
health,44,16,6388.92,2729.94,1,0,basic,none,no,0
health,37,18,3165.61,1416.54,1,1,premium,rear,yes,0
health,56,18,2218.4,5567.25,0,3,standard,none,yes,0
property,26,7,5754.8,2226.06,0,3,premium,front,no,0
auto,54,17,4104.62,1091.16,1,1,basic,rear,no,0
auto,23,18,1345.01,1505.15,2,2,basic,rear,yes,0
property,58,19,2893.87,1210.85,0,2,basic,rear,yes,0
health,56,7,3435.69,2697.37,0,1,basic,side,no,0
health,23,4,2547.02,796.81,1,2,basic,none,no,0
property,64,11,10272.39,924.75,0,1,basic,none,no,0
auto,43,18,5094.35,1345.1,1,2,standard,front,yes,0
auto,66,18,9520.69,2543.95,0,2,basic,none,no,0
auto,20,11,4378.22,3349.38,1,2,basic,none,no,0
property,29,2,3854.4,3605.7,0,3,standard,none,no,0
property,48,8,1890.09,2356.42,0,2,standard,none,yes,0
auto,29,14,3671.48,1734.64,4,2,standard,none,no,0
auto,38,11,3674.37,2690.04,1,3,standard,side,no,0
health,58,6,1398.31,1020.2,2,2,basic,side,no,0
auto,26,6,2495.72,718.86,2,1,standard,side,no,0
property,60,1,2903.59,2249.18,2,2,standard,none,no,0
auto,24,5,4863.12,1093.52,0,3,basic,front,no,0
property,28,13,5028.84,1749.96,1,3,basic,none,yes,0
health,54,4,2423.76,1919.49,0,1,premium,rear,no,0
auto,67,19,5055.38,2046.86,1,1,basic,side,no,0
health,28,1,3205.25,2889.66,0,1,basic,rear,yes,0
health,36,11,488.46,2740.89,0,0,basic,none,no,0
auto,75,9,2593.36,1993.21,1,1,premium,front,yes,0
auto,79,16,7748.79,1449.53,2,0,standard,none,no,0
property,54,17,1121.85,1908.13,3,1,premium,none,no,0
health,45,10,3939.79,1341.97,0,0,standard,rear,yes,0
health,39,12,11044.44,1638.91,3,1,standard,none,no,0
auto,55,13,2137.88,6694.8,1,2,basic,none,no,0
health,54,10,3646.43,1980.48,3,3,basic,none,no,0
health,36,3,1461.46,2264.53,1,3,standard,side,no,0
auto,19,8,11373.73,1270.62,1,2,premium,none,no,0
auto,27,4,3434.64,3011.03,1,2,premium,none,no,0
auto,77,9,3761.75,2644.23,1,3,premium,none,no,0
health,43,12,9395.73,2653.61,0,2,standard,rear,no,0
auto,47,4,5785.07,2013.13,1,0,standard,none,no,0
property,46,4,1972.51,3032.36,1,3,standard,none,yes,0
auto,66,16,2314.4,3414.69,0,2,standard,side,no,0
property,22,7,5148.45,2082.97,1,2,basic,none,yes,0
auto,23,3,2352.22,1707.34,1,0,basic,side,no,0
health,35,14,827.1,2827.89,0,1,basic,side,no,0
health,48,14,3507.75,1150.48,0,1,basic,none,yes,0
health,59,16,1291.88,1262.72,0,3,basic,rear,no,0
property,48,15,11286.89,1760.49,1,1,standard,rear,no,0
auto,45,19,4120.59,756.97,0,1,standard,none,yes,0
auto,76,11,1932.13,2734.76,1,2,standard,none,yes,0
auto,27,5,2232.68,1117.16,1,0,standard,rear,no,0
health,53,17,970.12,1428.32,0,2,basic,rear,yes,0
property,51,5,1686.44,1625.16,0,0,basic,rear,no,0
auto,47,5,7416.23,1843.91,1,0,standard,rear,no,0
health,68,16,17365.67,1522.6,2,1,basic,none,yes,0
auto,34,17,6054.02,1748.15,1,0,standard,front,no,0
property,77,6,3413.76,1754.93,1,0,standard,none,no,0
auto,38,14,2690.89,1445.9,0,1,basic,front,no,0
property,51,18,1863.95,1228.32,2,2,premium,none,yes,0
health,50,15,15395.59,3104.9,0,0,basic,front,yes,0
property,70,0,3190.32,631.31,1,1,standard,none,no,0
health,45,13,16009.55,1631.32,0,2,premium,none,yes,0
auto,35,3,9657.24,1430.17,1,3,standard,none,no,0
property,19,16,1076.47,2229.19,1,2,standard,front,yes,0
auto,40,1,2284.34,873.8,1,2,standard,none,no,0
auto,69,19,2279.4,1408.26,3,3,basic,side,no,0
auto,18,3,3443.03,1717.84,0,0,standard,none,no,0
property,73,8,3490.43,3087.25,1,3,standard,none,no,0
health,51,4,29654.45,2134.72,1,1,basic,front,yes,0
auto,26,16,1712.9,1000.5,2,1,basic,front,no,0
property,36,7,4273.89,1416.95,0,2,premium,rear,no,0
auto,52,14,5605.79,2815.87,4,3,basic,none,no,0
auto,37,1,3636.95,991.89,0,3,premium,front,yes,0
auto,24,9,3932.88,1738.33,0,3,basic,rear,no,0
auto,59,18,1752.21,1799.82,1,1,basic,none,yes,0
health,59,18,3922.72,1490.86,0,0,standard,none,no,0
auto,25,4,5208.15,6959.59,1,0,standard,rear,yes,0
auto,35,7,4579.39,1470.91,1,3,standard,side,no,0
auto,33,8,5426.99,2263.99,0,0,basic,none,yes,0
property,58,11,9787.15,1232.56,0,1,standard,none,yes,0
health,63,10,7015.5,2354.01,2,1,standard,side,no,0
auto,63,2,3827.27,2794.46,1,2,basic,side,yes,0
health,76,15,1603.22,1347.52,0,1,standard,none,no,0
auto,65,4,2392.27,1759.26,1,2,basic,side,no,0
property,37,6,3122.09,1155.58,2,2,basic,none,no,0
auto,24,16,4344.4,1020.25,1,3,basic,none,yes,0
auto,56,13,2604.95,3036.31,2,0,basic,none,no,0
auto,74,7,1891.24,1370.59,1,3,standard,side,yes,0
auto,78,18,1584.88,540.88,3,2,premium,rear,no,0
auto,32,7,1146.16,4370.7,1,3,basic,none,yes,0
health,32,11,3088.79,1210.7,0,1,basic,rear,no,0
auto,20,4,1301.45,1598.49,1,1,premium,side,no,0
auto,26,3,1807.38,4107.02,0,2,basic,front,yes,0
health,52,9,2763.54,1684.34,0,3,basic,front,yes,0
health,51,11,1429.18,1666.25,2,0,standard,side,no,0
property,40,16,4749.65,978.4,0,2,basic,side,yes,0
auto,37,7,6112.9,798.38,1,0,standard,side,no,0
property,69,17,2478.48,1663.71,3,3,premium,none,yes,0
health,46,12,2681.36,2167.66,2,1,standard,side,yes,0
health,68,1,5303.92,2106.46,1,3,standard,none,no,1
auto,77,14,2208.8,1421.36,2,0,basic,none,no,0
auto,37,11,2105.03,1826.45,1,0,basic,none,yes,0
auto,30,7,8413.13,721.55,0,3,premium,none,no,0
health,77,9,6761.04,2275.79,1,1,premium,none,no,0
health,57,6,5547.4,1960.01,1,0,standard,rear,no,0
auto,36,12,6960.11,4850.47,2,3,basic,side,no,0
auto,56,11,912.24,1814.82,3,1,standard,none,no,0
property,49,8,9392.67,1128.52,0,3,basic,none,yes,0
auto,74,5,4790.76,1762.76,0,1,standard,rear,yes,0
health,33,7,7387.52,1534.72,0,3,standard,none,yes,0
property,79,9,4774.35,2247.01,2,2,basic,none,yes,0
auto,76,9,3767.8,1832.52,1,1,standard,none,no,0
health,29,6,3002.75,962.97,1,1,standard,side,yes,0
health,28,11,4707.92,798.02,0,1,premium,front,no,0
auto,51,4,2927.13,2062.05,1,2,basic,front,yes,0
auto,20,10,6684.28,3610.34,2,2,basic,side,no,0
property,36,2,1199.28,1881.22,0,0,standard,side,no,0
auto,44,9,2492.14,2715.28,0,1,basic,rear,no,0
auto,78,15,15235.39,3000.11,0,1,basic,none,no,0
auto,79,16,2349.0,2066.05,1,3,basic,front,no,0
health,27,13,3080.73,1203.22,0,1,basic,none,no,0
auto,73,14,1962.93,1993.51,3,2,standard,side,no,0
auto,23,1,4605.89,3306.14,1,0,premium,none,no,0
auto,64,6,2174.63,2356.53,0,1,standard,none,yes,0
auto,70,13,3197.33,2628.38,0,1,standard,none,no,0
health,73,16,6595.92,1434.72,2,1,basic,side,no,0
property,31,11,2232.47,1634.06,2,3,standard,side,yes,1
auto,73,17,6323.5,1703.83,1,3,standard,none,yes,0
health,25,5,6474.07,1762.22,0,1,standard,none,yes,0
health,50,3,7619.52,3242.11,1,2,standard,none,no,0
health,47,1,4017.35,559.15,1,3,standard,rear,no,0
health,37,11,35202.82,1835.86,1,0,basic,side,no,0
auto,19,13,7617.27,1737.59,3,1,standard,side,no,0
health,65,5,4570.67,910.73,0,2,standard,side,yes,0
health,38,15,1972.1,2529.77,1,0,basic,none,no,0
health,59,14,3401.8,1258.59,0,1,premium,front,yes,0
auto,43,7,9881.59,1512.45,1,0,basic,none,no,0
auto,41,4,12048.24,4556.87,0,1,basic,side,no,0
auto,72,14,10247.92,2995.86,2,0,standard,side,no,1
auto,23,13,6308.38,2409.67,0,2,standard,front,no,0
auto,63,3,1511.77,2187.22,0,3,basic,none,no,0
auto,64,5,5120.53,1665.13,1,1,basic,none,no,0
auto,41,9,1526.94,4913.24,1,0,basic,none,yes,0
auto,34,10,1285.33,2700.21,0,1,basic,front,no,0
property,18,3,4304.48,1242.93,0,0,standard,side,no,0
health,76,18,5251.35,897.8,0,1,basic,none,no,0
auto,76,7,6852.47,2400.47,0,2,standard,none,yes,0
health,32,7,5156.41,1758.23,1,1,standard,side,yes,0
auto,19,1,5282.26,884.95,0,2,standard,rear,no,0
auto,25,17,1827.57,2240.14,1,2,premium,rear,no,0
health,22,4,3382.99,1580.48,0,0,basic,none,no,0
auto,69,19,1267.77,2357.44,2,2,basic,front,yes,0
health,73,9,895.73,2254.92,0,2,basic,rear,no,0
auto,27,17,6114.69,1333.91,0,0,basic,rear,no,0
auto,64,3,2149.12,2481.01,1,1,standard,none,no,0
auto,29,3,6705.94,1409.58,2,1,basic,front,yes,0
auto,40,16,7909.69,1456.16,1,1,standard,side,no,0
health,55,16,2360.14,1385.57,0,3,premium,none,no,0
auto,62,10,5503.93,3182.71,0,2,basic,rear,yes,0
auto,72,0,2292.02,1571.39,1,3,basic,rear,yes,0
auto,20,18,1000.13,3591.13,2,2,standard,side,no,0
health,30,7,3969.19,4410.5,1,0,standard,side,no,0
health,35,18,2618.58,1249.68,1,2,basic,rear,yes,0
property,37,17,2675.62,419.68,0,0,standard,rear,no,0
health,79,17,14512.13,3048.04,1,1,basic,rear,no,0
property,66,13,1251.25,1523.88,0,3,standard,none,no,0
auto,37,13,4760.03,1172.52,1,3,standard,none,yes,0
health,78,10,1814.63,1347.01,0,0,basic,rear,no,0
auto,48,0,6875.94,1469.38,0,3,basic,none,no,0
auto,49,7,4486.83,3458.52,1,3,standard,side,yes,0
health,44,14,4748.3,1958.54,0,3,standard,none,yes,0
property,26,16,1879.15,3435.09,1,3,premium,side,no,0
health,75,11,2130.45,2314.87,1,0,standard,rear,yes,0
auto,18,14,6967.94,1549.03,1,0,standard,front,yes,0
health,28,0,12576.16,1487.45,2,2,standard,rear,no,0
auto,32,9,5096.02,2394.2,1,0,standard,rear,no,0
health,35,10,1942.64,2724.97,1,1,basic,side,yes,0
auto,26,17,4615.88,2976.18,0,3,basic,none,no,0
auto,19,6,19915.04,1586.41,0,3,standard,rear,no,0
auto,60,4,3911.58,1973.58,0,1,basic,side,no,0
property,78,7,10130.32,2421.2,2,2,basic,none,no,0
auto,25,3,2168.45,1492.22,1,2,basic,side,yes,0
auto,36,11,3535.25,1025.08,0,1,premium,rear,no,0
auto,49,12,5617.8,1208.17,0,0,standard,front,no,1
auto,75,16,4808.45,1602.76,1,1,standard,rear,no,0
auto,61,19,2129.26,2517.71,1,2,premium,none,yes,0
health,65,1,2065.93,3393.06,0,3,standard,side,no,0
auto,54,4,7272.09,917.8,3,3,standard,rear,yes,0
auto,43,6,8384.04,1341.21,3,0,standard,none,no,0
auto,30,4,10493.39,1511.82,4,2,standard,none,yes,0
auto,71,16,12871.25,2690.17,2,2,premium,none,no,0
health,67,2,4000.74,1388.45,0,0,standard,side,yes,0
auto,19,0,2928.25,1458.46,0,3,standard,front,no,0
health,62,17,9373.99,892.48,1,2,standard,none,no,0
auto,23,19,5997.8,2302.39,0,2,standard,front,no,0
auto,63,4,1830.38,1667.87,1,2,basic,none,no,0
auto,69,6,1765.97,1303.72,2,1,basic,none,no,0
health,26,10,5137.65,1588.02,0,0,basic,none,no,0
auto,44,10,3216.05,3176.38,2,1,basic,rear,no,0
health,25,19,3574.21,1093.96,0,3,standard,none,no,0
property,53,8,7713.86,1186.98,3,2,basic,none,no,0
auto,75,0,6193.94,3381.67,2,2,premium,none,no,0
auto,23,8,9236.44,1877.86,4,0,basic,none,no,1
auto,42,11,941.92,2527.22,1,0,basic,none,yes,0
auto,78,10,4347.6,2210.28,1,2,standard,none,no,0
auto,36,10,5921.13,1776.38,0,3,basic,none,no,0
health,26,18,1250.61,1519.07,1,1,basic,none,yes,0
health,48,16,2302.09,2740.18,1,1,basic,none,no,0
health,49,5,2021.63,3233.01,0,3,standard,none,yes,0
auto,59,7,3696.67,3109.12,0,0,basic,none,no,0
auto,37,13,11378.69,999.51,0,2,standard,none,no,1
health,77,8,15000.11,3471.89,1,0,basic,rear,no,0
auto,50,8,2059.05,1511.76,1,1,basic,none,yes,0
health,35,3,5263.7,1239.53,0,1,basic,none,no,0
health,77,5,5383.85,1661.27,0,2,basic,none,no,0
auto,75,14,4775.9,2739.59,0,1,standard,side,no,0
auto,48,16,4814.01,2369.02,0,1,basic,front,no,0
health,19,15,4503.54,1591.3,0,1,standard,rear,no,0
health,55,6,11864.42,2748.56,2,0,premium,none,yes,0
auto,52,2,7877.19,1939.01,1,3,basic,none,no,0
auto,27,3,1733.49,1357.66,0,2,premium,none,yes,0
auto,57,7,6355.05,1269.0,0,2,standard,none,yes,0
health,70,10,6799.89,2219.68,1,2,standard,side,yes,0
auto,24,17,4539.07,1734.96,0,0,premium,none,no,0
property,62,17,8038.49,908.91,1,2,basic,none,no,0
property,26,0,4153.27,2761.64,0,2,standard,none,no,0
property,64,14,4189.46,1422.06,1,1,standard,rear,no,0
auto,43,5,3963.44,4008.05,0,2,standard,front,yes,0
